Item1,Item2,Result
Fire Burst,,Spicy Soup
Ice Storm,,Snow Cone
Thunder Rage,,Electro Pop
Shooting Star,,Meteor Meal
POW Block,,Megaton Dinner
Block Block,,Block Meal
Shell Shock,,Courage Shell
Sleepy Sheep,,Mistake
Gold Bar,,Golden Meal
Gold Bar x3,,Golden Meal
Shroom Shake,,Fried Shroom Plate
Long-Last Shake,,Fried Shroom Plate
Volt Shroom,,Fried Shroom Plate
Super Shroom Shake,,Roast Shroom Dish
Life Shroom,,Roast Shroom Dish
Ultra Shroom Shake,,Shroom Steak
Slimy Shroom,,Slimy Extract
Ghost Shroom,,Dangerous Delight
Poison Shroom,,Dangerous Delight
Cake Mix,,Sweet Cookie Snack
Big Egg,,Fried Egg
Fresh Pasta Bunch,,Spaghetti Plate
Power Steak,,Hamburger
Bone-In Cut,,Roast Meat
Peachy Peach,,Peach Juice
Keel Mango,,Mango Juice
Blue Apple,,Sky Juice
Orange Apple,,Sky Juice
Red Apple,,Sky Juice
Pink Apple,,Sky Juice
Primordial Fruit,,Town Special
Mild Cocoa Bean,,Warm Cocoa
Honey Jar,,Honey Candy
Hot Sauce,,Fire Burst
Inky Sauce,,Inky Soup
Dayzee Tear,,Dayzee Syrup
Sap Soup,,Sap Syrup
Fresh Veggie,,Healthy Salad
Turtley Leaf,,Koopa Tea
Smelly Herb,,Herb Tea
Golden Leaf,,Gold Bar
Whacka Bump,,Roast Whacka Bump
Horsetail,,Roast Horsetail
Mistake,,Mistake
Sleepy Sheep,Fire Burst,Mistake
Sleepy Sheep,Ice Storm,Mistake
Sleepy Sheep,Thunder Rage,Mistake
Sleepy Sheep,Shooting Star,Mistake
Sleepy Sheep,POW Block,Mistake
Sleepy Sheep,Block Block,Mistake
Sleepy Sheep,Courage Shell,Mistake
Sleepy Sheep,Mighty Tonic,Mistake
Sleepy Sheep,Shell Shock,Mistake
Stop Watch,Sleepy Sheep,Mistake
Catch Card,Sleepy Sheep,Mistake
Catch Card SP,Sleepy Sheep,Mistake
Star Medal,Sleepy Sheep,Mistake
Gold Medal,Sleepy Sheep,Mistake
HP Plus,Sleepy Sheep,Mistake
Power Plus,Sleepy Sheep,Mistake
Gold Bar,Sleepy Sheep,Mistake
Gold Bar x3,Sleepy Sheep,Mistake
Shroom Shake,Fire Burst,Emergency Ration
Shroom Shake,Ice Storm,Space Food
Shroom Shake,Thunder Rage,Volt Shroom
Shroom Shake,Shooting Star,Meteor Meal
Shroom Shake,POW Block,Megaton Dinner
Shroom Shake,Block Block,Block Meal
Shroom Shake,Sleepy Sheep,Mistake
Shroom Shake,Gold Bar,Golden Meal
Shroom Shake,Gold Bar x3,Golden Meal
Long-Last Shake,Fire Burst,Emergency Ration
Long-Last Shake,Ice Storm,Space Food
Long-Last Shake,Thunder Rage,Volt Shroom
Long-Last Shake,Shooting Star,Meteor Meal
Long-Last Shake,POW Block,Megaton Dinner
Long-Last Shake,Block Block,Block Meal
Long-Last Shake,Sleepy Sheep,Mistake
Long-Last Shake,Gold Bar,Golden Meal
Long-Last Shake,Gold Bar x3,Golden Meal
Long-Last Shake,Shroom Shake,Fried Shroom Plate
Volt Shroom,Fire Burst,Emergency Ration
Volt Shroom,Ice Storm,Space Food
Volt Shroom,Thunder Rage,Heavy Meal
Volt Shroom,Shooting Star,Meteor Meal
Volt Shroom,POW Block,Megaton Dinner
Volt Shroom,Block Block,Block Meal
Volt Shroom,Sleepy Sheep,Mistake
Volt Shroom,Gold Bar,Golden Meal
Volt Shroom,Gold Bar x3,Golden Meal
Volt Shroom,Shroom Shake,Fried Shroom Plate
Volt Shroom,Long-Last Shake,Fried Shroom Plate
Super Shroom Shake,Fire Burst,Emergency Ration
Super Shroom Shake,Ice Storm,Space Food
